gene_id,symbol,biotype,log2FoldChange,lfcSE,pvalue,padj,WT_mean,KO_mean
HVO_RS10805,HVO_RS10805,pseudogene,-0.056911635613122,0.0524547122653063,0.211025531222473,0.420890869230936,2015.87306423383,1914.16898097132
HVO_RS15030,HVO_RS15030,protein_coding,0.0662553962295368,0.0678951774604021,0.211027096955477,0.420890869230936,422.052417391105,454.792924861406
HVO_RS16625,HVO_RS16625,protein_coding,-0.0655420816500067,0.0668219990807632,0.212664573090775,0.423418735994606,503.09815958232,468.205602692741
HVO_RS00925,HVO_RS00925,protein_coding,-0.0695739877430294,0.0862320344377294,0.212672893382466,0.423418735994606,165.034538867127,148.006993668402
HVO_RS00630,HVO_RS00630,protein_coding,0.0518868867531539,0.0465792456569237,0.212860002667042,0.423418735994606,3625.38557538347,3789.17961321651
HVO_RS08535,HVO_RS08535,protein_coding,0.0649470510229545,0.10382069365171,0.212893520848506,0.423418735994606,4324.82697518974,5096.73268505699
HVO_RS19235,HVO_RS19235,protein_coding,0.0650551038871299,0.0658487044305119,0.212895180108043,0.423418735994606,993.671118785603,1065.35662790102
HVO_RS11820,HVO_RS11820,protein_coding,-0.0589827877622645,0.115975989937233,0.212996710754611,0.423418735994606,1460.26984123352,1175.34245410585
HVO_RS19565,HVO_RS19565,protein_coding,-0.0425039422751837,0.146738547746308,0.213656905631236,,10.4895251642758,6.78892999806832
HVO_RS08985,HVO_RS08985,protein_coding,-0.0579593148893053,0.0543249816949174,0.213782698100776,0.424747831811427,8160.193643466,7731.47041007453
HVO_RS10160,HVO_RS10160,protein_coding,0.0689001914085857,0.090322629277939,0.214221317736266,0.425385690213947,112.768005330351,127.350339753597
HVO_RS07190,HVO_RS07190,protein_coding,-0.0622359016609166,0.0609553802479218,0.21440608629783,0.425519045653071,648.055499055605,609.083557377343
HVO_RS10850,HVO_RS10850,protein_coding,0.0546035587594382,0.0500702573196937,0.214595892172332,0.425662246644461,1398.34841088196,1468.08875962052
HVO_RS00710,HVO_RS00710,protein_coding,0.0674389757063215,0.0725461060286746,0.214717793861076,0.425670672980479,458.788703469953,497.780851658016
HVO_RS12780,HVO_RS12780,protein_coding,-0.0556201058633627,0.0514319569091066,0.215099966592917,0.426078407087672,2708.20843556433,2574.35425586659
HVO_RS16210,HVO_RS16210,protein_coding,0.0652491392439963,0.102208300901525,0.215158996613924,0.426078407087672,70.1697047418636,81.9281752986174
HVO_RS04325,HVO_RS04325,protein_coding,-0.0598345269416957,0.0573357556509979,0.215447717352872,0.42641676224436,713.042427877442,673.37392946349
HVO_RS15740,HVO_RS15740,protein_coding,-0.0669477142839557,0.0973411679848451,0.215747183644471,0.426776003513228,120.832994505304,104.858146837785
